Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,fee_sum,fee_avg,crossed_ratio,value,classification,sentiment_regime,size_segment,freq_segment
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,16766.37,9.0,0.2222222222222222,1862.9299999999998,0.7777777777777778,3.659253,0.4065836666666667,0.2222222222222222,74,Greed,Greed,Low-Size,Infrequent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,4431556.890000001,525.0,0.3238095238095238,8441.060742857144,0.5657142857142857,538.0863564464,1.0249263932312382,0.05714285714285714,44,Fear,Fear,High-Size,Normal
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335700000096,11509295.889999999,1043.0,0.2751677852348993,11034.799511025885,0.46883988494726747,2783.4985279999996,2.668742596356663,0.9357622243528284,69,Greed,Greed,High-Size,Normal
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.894755999998,23499792.29,3076.0,0.21879063719115735,7639.724411573472,0.49187256176853056,4561.206114,1.4828368381014303,0.77925877763329,84,Extreme Greed,Extreme Greed,High-Size,Frequent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,4723983.0,1643.0,0.20998174071819842,2875.2178940961658,0.6202069385270846,2953.83210411,1.7978284261168593,0.8715763846622033,50,Neutral,Neutral,Mid-Size,Normal
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,2746705.92,1268.0,0.5670347003154574,2166.171861198738,0.1167192429022082,812.1413679999999,0.6404900378548896,0.5678233438485805,74,Greed,Greed,Mid-Size,Normal
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,13421173.84,7380.0,0.3910569105691057,1818.587241192412,0.4711382113821138,4707.64902071,0.6378928212344173,0.8917344173441735,44,Fear,Fear,Low-Size,Frequent
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,108877041.10000001,4838.0,0.4386109962794543,22504.5558288549,0.48945845390657294,28643.173715000004,5.920457568210005,0.867920628358826,44,Fear,Fear,High-Size,Frequent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.2126819999,68036326.2,21190.0,0.46753185464841907,3210.7751864086836,0.5283152430391694,8596.700755219,0.4056961186983955,0.3263331760264276,44,Fear,Fear,Mid-Size,Frequent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,727783.42,267.0,0.15355805243445692,2725.7805992509366,0.18352059925093633,81.22738700000001,0.3042224232209738,0.09363295880149813,74,Greed,Greed,Mid-Size,Normal
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,17917884.11,2211.0,0.3722297602894618,8103.972912709181,0.4767073722297603,3999.85393243,1.8090700734644958,0.3568521031207598,44,Fear,Fear,High-Size,Frequent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,26617723.76,9883.0,0.5692603460487706,2693.2837964180917,0.3128604674693919,2512.00733119,0.2541745756541536,0.3742790650612162,74,Greed,Greed,Mid-Size,Frequent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,41437969.8,26651.0,0.3848636073693295,1554.8373344339798,0.4715770515177667,9512.317580370001,0.3569216007042888,0.8676597501031856,44,Fear,Fear,Low-Size,Frequent
